club_id,club_code,club_name,domestic_competition_id,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,last_season
127,sc-paderborn-07,null,L1,26,25.7,5,19.2,1,Home Deluxe Arena,15000,2019
192,roda-jc-kerkrade,null,NL1,25,23.9,9,36,0,Parkstad Limburg Stadion,19979,2017
2239,us-cremonese,US Cremonese,IT1,26,26,12,46.2,7,Giovanni Zini,16003,2022
2423,cd-santa-clara,CD Santa Clara,PO1,31,25.8,20,64.5,2,Estádio de São Miguel,15000,2022
24245,umraniyespor,Ümraniyespor,TR1,24,28.4,10,41.7,3,Ümraniye Belediyesi Şehir Stadı,3513,2022
2553,kilmarnock-fc,Kilmarnock FC,SC1,27,25.7,16,59.3,1,"BBSP Stadium, Rugby Park",18128,2022
26459,nk-veres-rivne,null,UKR1,22,27.1,0,,0,Stadion Avangard (2022),10000,2022
2671,pas-giannina,PAS Giannina,GR1,31,25.4,14,45.2,0,Stadio Zosimades,7652,2022
2919,ac-monza,AC Monza,IT1,30,26.8,9,30,4,U-Power Stadium - Brianteo,15039,2022
3205,kayserispor,Kayserispor,TR1,28,25.6,13,46.4,3,RHG Enertürk Enerji Stadyumu,32864,2022
383,psv-eindhoven,PSV Eindhoven,NL1,24,25.5,14,58.3,8,Philips Stadion,35000,2022
3948,royale-union-saint-gilloise,Royale Union Saint Gilloise,BE1,24,25,17,70.8,6,Stade Joseph Mariën,8000,2022
41274,beerschot-v-a-,null,BE1,26,23.9,12,46.2,2,Olympisch Stadion,12771,2021
475,vv-st-truiden,Sint-Truidense VV,BE1,23,26.3,15,65.2,3,Stayen,14600,2022
48726,rukh-lviv,Rukh Lviv,UKR1,27,22.8,6,22.2,0,Arena Lviv,34512,2022
498,ksc-lokeren,null,BE1,0,,0,,0,Daknamstadion,12000,2018
5358,sd-huesca,null,ES1,24,27.4,8,33.3,2,El Alcoraz,9128,2020
553,ionikos-nikeas,Ionikos Nikeas,GR1,27,28.6,16,59.3,1,Dimotiko Gipedo Neapolis,6000,2022
60,sc-freiburg,SC Freiburg,L1,26,26.2,10,38.5,10,Europa-Park Stadion,34700,2022
603,cardiff-city,null,GB1,28,25.5,24,85.7,8,Cardiff City Stadium,33280,2018
607,venezia-fc,null,IT1,27,25.6,17,63,4,Pier Luigi Penzo,11150,2021
6574,us-sassuolo,US Sassuolo,IT1,26,25.8,15,57.7,8,Mapei Stadium - Città del Tricolore,21584,2022
6646,fatih-karagumruk,Fatih Karagümrük,TR1,30,26.2,17,56.7,4,Atatürk Olimpiyat,74753,2022
667,rc-strassburg-alsace,RC Strasbourg Alsace,FR1,26,26.6,11,42.3,8,Stade de la Meinau,29000,2022
855,ea-guingamp,null,FR1,27,25.4,7,25.9,1,Stade du Roudourou,18120,2018
8838,zirka-kropyvnytskyi,null,UKR1,7,27.3,0,,0,Zirka,14628,2017
897,deportivo-la-coruna,null,ES1,24,27.7,3,12.5,0,Abanca Riazor,32912,2017
1039,queens-park-rangers,null,GB1,26,25.9,15,57.7,8,Loftus Road Stadium,18360,2014
1084,fc-malaga,null,ES1,27,27.9,8,29.6,0,La Rosaleda,30044,2017
1162,sm-caen,null,FR1,27,25.7,12,44.4,4,Stade Michel-d'Ornano,20500,2018
12438,volga-nizhniy-novgorod,null,RU1,0,,0,,0,Zentralstadion Lokomotiv,17856,2013
1506,kardemir-karabukspor,null,TR1,0,,0,,0,Dr. Necmettin Şeyhoğlu,12400,2017
157,kaa-gent,KAA Gent,BE1,25,26.1,12,48,5,Ghelamco Arena,19999,2022
16239,desna-chernigiv,null,UKR1,0,,0,,0,Stadion im. Yuriya Gagarina,12060,2021
200,fc-utrecht,FC Utrecht,NL1,30,25.6,13,43.3,4,"Stadion ""Galgenwaard""",23750,2022
2293,konyaspor,Konyaspor,TR1,29,26.8,15,51.7,7,Medaş Konya Büyükşehir Stadyumu,42000,2022
2457,belenenses-sad,null,PO1,25,24.2,13,52,4,Estádio das Seixas,12500,2021
