competition_id,competition_code,competition_name,country_id,country_name,domestic_league_code,confederation
BE1,jupiler-pro-league,jupiler-pro-league,19,Belgium,BE1,europa
SCI,supercoppa-italiana,supercoppa-italiana,75,Italy,IT1,europa
SFA,sfa-cup,sfa-cup,190,Scotland,SC1,europa
UKRS,ukrainian-super-cup,ukrainian-super-cup,177,Ukraine,UKR1,europa
FAC,fa-cup,fa-cup,189,England,GB1,europa
KLUB,fifa-klub-wm,fifa-klub-wm,-1,,,europa
BESC,belgian-supercup,belgian-supercup,19,Belgium,BE1,europa
CGB,efl-cup,efl-cup,189,England,GB1,europa
DK1,superligaen,superligaen,39,Denmark,DK1,europa
ECLQ,uefa-europa-conference-league-qualifikation,uefa-europa-conference-league-qualifikation,-1,,,europa
ELQ,europa-league-qualifikation,europa-league-qualifikation,-1,,,europa
NLSC,johan-cruijff-schaal,johan-cruijff-schaal,122,Netherlands,NL1,europa
CDR,copa-del-rey,copa-del-rey,157,Spain,ES1,europa
USC,uefa-super-cup,uefa-super-cup,-1,,,europa
CL,uefa-champions-league,uefa-champions-league,-1,,,europa
DFB,dfb-pokal,dfb-pokal,40,Germany,L1,europa
FR1,ligue-1,ligue-1,50,France,FR1,europa
GBCS,community-shield,community-shield,189,England,GB1,europa
GR1,super-league-1,super-league-1,56,Greece,GR1,europa
SC1,scottish-premiership,scottish-premiership,190,Scotland,SC1,europa
DFL,dfl-supercup,dfl-supercup,40,Germany,L1,europa
EL,europa-league,europa-league,-1,,,europa
TR1,super-lig,super-lig,174,Turkey,TR1,europa
ES1,laliga,laliga,157,Spain,ES1,europa
RU1,premier-liga,premier-liga,141,Russia,RU1,europa
RUSS,russian-super-cup,russian-super-cup,141,Russia,RU1,europa
SUC,supercopa,supercopa,157,Spain,ES1,europa
UKRP,ukrainian-cup,ukrainian-cup,177,Ukraine,UKR1,europa
GB1,premier-league,premier-league,189,England,GB1,europa
NLP,toto-knvb-beker,toto-knvb-beker,122,Netherlands,NL1,europa
PO1,liga-portugal-bwin,liga-portugal-bwin,136,Portugal,PO1,europa
POCP,allianz-cup,allianz-cup,136,Portugal,PO1,europa
RUP,russian-cup,russian-cup,141,Russia,RU1,europa
L1,bundesliga,bundesliga,40,Germany,L1,europa
DKP,sydbank-pokalen,sydbank-pokalen,39,Denmark,DK1,europa
UKR1,premier-liga,premier-liga,177,Ukraine,UKR1,europa
CLQ,uefa-champions-league-qualifikation,uefa-champions-league-qualifikation,-1,,,europa
IT1,serie-a,serie-a,75,Italy,IT1,europa
POSU,supertaca-candido-de-oliveira,supertaca-candido-de-oliveira,136,Portugal,PO1,europa
CIT,italy-cup,italy-cup,75,Italy,IT1,europa
FRCH,trophee-des-champions,trophee-des-champions,50,France,FR1,europa
GRP,kypello-elladas,kypello-elladas,56,Greece,GR1,europa
NL1,eredivisie,eredivisie,122,Netherlands,NL1,europa
